virus,host,interaction
PG-2021_22,Staphylococcus_haemolyticus,Inf
PG-2021_22,Staphylococcus_hominis,NoInf
PG-2021_22,Staphylococcus_hyicus,NoInf
PG-2021_22,Staphylococcus_kloosii,Inf
PG-2021_22,Staphylococcus_lentus,NoInf
PG-2021_22,Staphylococcus_lugdunensis,NoInf
PG-2021_22,Staphylococcus_nepalensis,NoInf
PG-2021_22,Staphylococcus_pasteuri,NoInf
PG-2021_22,Staphylococcus_pettenkoferi,NoInf
PG-2021_22,Staphylococcus_pseudintermedius,NoInf
PG-2021_22,Staphylococcus_saprophyticus,NoInf
PG-2021_22,Staphylococcus_schleiferi,NoInf
PG-2021_22,Staphylococcus_sciuri,Inf
PG-2021_22,Staphylococcus_succinus,NoInf
PG-2021_22,Staphylococcus_vitulinus,Inf
PG-2021_22,Staphylococcus_warneri,NoInf
PG-2021_22,Staphylococcus_xylosus,Inf
PG-2021_23,Staphylococcus_arlettae,NoInf
PG-2021_23,Staphylococcus_aureus,Inf
PG-2021_23,Staphylococcus_auricularis,NoInf
PG-2021_23,Staphylococcus_capitis,NoInf
PG-2021_23,Staphylococcus_caprae,NoInf
PG-2021_23,Staphylococcus_chromogenes,Inf
PG-2021_23,Staphylococcus_cohnii,Inf
PG-2021_23,Staphylococcus_epidermidis,NoInf
PG-2021_23,Staphylococcus_equorum,Inf
PG-2021_23,Staphylococcus_fleuretti,Inf
PG-2021_23,Staphylococcus_haemolyticus,NoInf
PG-2021_23,Staphylococcus_hominis,NoInf
PG-2021_23,Staphylococcus_hyicus,NoInf
PG-2021_23,Staphylococcus_kloosii,NoInf
PG-2021_23,Staphylococcus_lentus,Inf
PG-2021_23,Staphylococcus_lugdunensis,NoInf
PG-2021_23,Staphylococcus_nepalensis,NoInf
PG-2021_23,Staphylococcus_pasteuri,NoInf
PG-2021_23,Staphylococcus_pettenkoferi,NoInf
PG-2021_23,Staphylococcus_pseudintermedius,NoInf
PG-2021_23,Staphylococcus_saprophyticus,NoInf
PG-2021_23,Staphylococcus_schleiferi,NoInf
PG-2021_23,Staphylococcus_sciuri,Inf
PG-2021_23,Staphylococcus_succinus,NoInf
PG-2021_23,Staphylococcus_vitulinus,Inf
PG-2021_23,Staphylococcus_warneri,NoInf
PG-2021_23,Staphylococcus_xylosus,Inf
PG-2021_27,Staphylococcus_arlettae,NoInf
PG-2021_27,Staphylococcus_aureus,Inf
PG-2021_27,Staphylococcus_auricularis,NoInf
PG-2021_27,Staphylococcus_capitis,NoInf
PG-2021_27,Staphylococcus_caprae,NoInf
PG-2021_27,Staphylococcus_chromogenes,NoInf
PG-2021_27,Staphylococcus_cohnii,NoInf
PG-2021_27,Staphylococcus_epidermidis,NoInf
PG-2021_27,Staphylococcus_equorum,NoInf
PG-2021_27,Staphylococcus_fleuretti,NoInf
PG-2021_27,Staphylococcus_haemolyticus,NoInf
PG-2021_27,Staphylococcus_hominis,NoInf
PG-2021_27,Staphylococcus_hyicus,NoInf
PG-2021_27,Staphylococcus_kloosii,NoInf
PG-2021_27,Staphylococcus_lentus,NoInf
PG-2021_27,Staphylococcus_lugdunensis,Inf
PG-2021_27,Staphylococcus_nepalensis,NoInf
PG-2021_27,Staphylococcus_pasteuri,NoInf
PG-2021_27,Staphylococcus_pettenkoferi,NoInf
PG-2021_27,Staphylococcus_pseudintermedius,NoInf
PG-2021_27,Staphylococcus_saprophyticus,Inf
PG-2021_27,Staphylococcus_schleiferi,NoInf
PG-2021_27,Staphylococcus_sciuri,NoInf
PG-2021_27,Staphylococcus_succinus,NoInf
PG-2021_27,Staphylococcus_vitulinus,Inf
PG-2021_27,Staphylococcus_warneri,NoInf
PG-2021_27,Staphylococcus_xylosus,NoInf
